ARO Accession,Model Name,ARO Name,Protein Accession,DNA Accession,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name
3002640,APH(3'')-Ic,APH(3'')-Ic,ABC68330.1,DQ336355.1,APH(3''),aminoglycoside antibiotic,antibiotic inactivation,APH(3'')-Ic
3002862,dfrA7,dfrA7,ACS44716.1,FJ854362.1,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,dfrA7
3002819,msrC,msrC,AAK01167.1,AF313494.1,msr-type ABC-F protein,macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target protection,msrC
3002510,LRA-3,LRA-3,ACH58987.1,EU408348.1,subclass B3 LRA beta-lactamase,cephalosporin;penam,antibiotic inactivation,LRA-3
3003549,mdtO,mdtO,BAE78083.1,AP009048.1,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;nucleoside antibiotic,antibiotic efflux,mdtO
3001362,SHV-179,SHV-179,AHA80962.1,KF705208.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-179
3002812,pp-flo,pp-flo,BAA07072.1,D37826.1,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux,pp-flo
3002418,OKP-A-1,OKP-A-1,CAG25812.2,AJ635401.2,OKP beta-lactamase,cephalosporin;penam,antibiotic inactivation,OKP-A-1
3002874,FosC2,FosC2,BAJ10053.1,AB522969.1,fosC phosphotransferase family,phosphonic acid antibiotic,antibiotic inactivation,FosC2
3002277,VIM-7,VIM-7,CAD61201.1,AJ536835.1,VIM beta-lactamase,carbapenem;cephalosporin;cephamycin;penam;penem,antibiotic inactivation,VIM-7
3000319,mphC,mphC,BAA34540.1,AB013298.1,macrolide phosphotransferase (MPH),macrolide antibiotic,antibiotic inactivation,mphC
3000217,blaR1,blaR1,ABU39979.1,EF540343.1,BlaZ beta-lactamase,penam,antibiotic inactivation,blaR1
3001376,TEM-196,TEM-196,AFE48832.1,JQ034306.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-196
3002016,CMY-5,CMY-5,CAB50867.1,Y17716.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-5
3002579,AAC(6')-Ib8,AAC(6')-Ib8,AIK02012.1,KF998105.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib8
3003665,NmcR,NmcR,CAA79966.1,Z21956.1,NmcA beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,NmcR
3000862,sgm,sgm,WP_063978071.1,NG_050600.1,16S rRNA methyltransferase (G1405),aminoglycoside antibiotic,antibiotic target alteration,sgm
3000024,patA,patA,AAK76137.1,AE005672.3,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,patA
3002613,aadA13,aadA13,ABW91178.1,EU746499.1,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA13
3001062,SHV-3,SHV-3,ANA06389.1,KX092356.1,SHV beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,SHV-3
3003150,CARB-20,CARB-20,ATI44679.1,CP023709.1,CARB beta-lactamase,penam,antibiotic inactivation,CARB-20
3000025,patB,patB,AAK76136.1,AE005672.3,ATP-binding cassette (ABC) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,patB
3002644,APH(3')-IIa,APH(3')-IIa,CAA23892.1,V00618.1,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,APH(3')-IIa
3000876,TEM-4,TEM-4,CDR98216.1,LK391770.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-4
3002578,AAC(6')-Ib7,AAC(6')-Ib7,AKN19287.1,KR091911.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib7
3002489,LRA-10,LRA-10,ACH58999.1,EU408357.1,class C LRA beta-lactamase,cephalosporin;penam,antibiotic inactivation,LRA-10
3002486,LRA-7,LRA-7,ACH58998.1,EU408356.1,subclass B3 LRA beta-lactamase,cephalosporin;penam,antibiotic inactivation,LRA-7
3002831,vgaC,vgaC,CBL58195.1,FN806792.1,vga-type ABC-F protein,lincosamide antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target protection,vgaC
3003037,opcM,opcM,AAC43969.1,U38944.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic efflux,opcM
3002047,CMY-36,CMY-36,ABY58049.1,EU331426.1,CMY beta-lactamase,cephamycin,antibiotic inactivation,CMY-36
3001853,ACT-33,ACT-33,AIT76087.1,KM087834.1,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,ACT-33
3003183,NDM-14,NDM-14,AJP18054.1,KM210086.1,NDM beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,NDM-14
3001742,OXA-287,OXA-287,WP_032865068.1,NG_050609.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-287
3000463,gimA,gimA,CAA11707.1,AJ223970.1,gimA family macrolide glycosyltransferase,macrolide antibiotic,antibiotic inactivation,gimA
3000822,pmrA,pmrA,AAK99679.1,AE007317.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,pmrA
3000478,tet(33),tet(33),CAD12227.2,AJ420072.1,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,tet(33)
3000481,tet(35),tet(35),AAK37619.1,AF353562.1,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,tet(35)
3002672,Bacillus pumilus cat86,Bacillus pumilus cat86,AAA22289.1,K00544.1,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation,Bpum_cat86
3003589,NmcA,NmcA,CAA79967.1,Z21956.1,NmcA beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,NmcA
3000856,BJP-1,BJP-1,AND91341.1,CP011360.1,BJP beta-lactamase,carbapenem,antibiotic inactivation,BJP-1
3003578,PmrF,PmrF,AAC75314.1,U00096.1,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic efflux;antibiotic target alteration,PmrF
3002953,vanX gene in vanM cluster,vanX gene in vanM cluster,ACL82962.1,FJ349556.1,glycopeptide resistance gene cluster;vanX,glycopeptide antibiotic,antibiotic target alteration,vanX_in_vanM_cl
3002894,otr(C),otr(C),AAR96051.1,AY509111.1,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,otr(C)
3000190,tet(O),tet(O),AAA23033.2,M18896.2,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,tet(O)
3000193,tet(T),tet(T),AAF01499.1,L42544.1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,tet(T)
3006236,ACT-41,ACT-41,WP_045331818.1,NG_050704.1,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,ACT-41
3004601,LnuP,LnuP,ACS83559.1,FJ589781.1,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,LnuP
3003324,Bacillus subtilis mprF,Bacillus subtilis mprF,CAX52582.1,AL009126.3,defensin resistant mprF,peptide antibiotic,antibiotic target alteration,Bsub_mprF
3002598,ANT(3'')-Ii-AAC(6')-IId fusion protein,ANT(3'')-Ii-AAC(6')-IId fusion protein,AAL51021.2,AF453998.2,AAC(6');ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,ANT3Ii_AAC6_IID
3002501,PDC-4,PDC-4,ACQ82809.1,FJ666067.1,PDC beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,PDC-4
3003679,TriA,TriA,AAG03546.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux,TriA
3003680,TriB,TriB,AAG03547.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux,TriB
3003681,TriC,TriC,AAG03548.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux,TriC
3003682,OpmH,OpmH,AAG08359.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics,antibiotic efflux,OpmH
3003637,OXA-480,OXA-480,ALL53530.1,KR872296.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-480
3006237,ACT-42,ACT-42,WP_040117106.1,NG_050705.1,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,ACT-42
3003698,mexP,mexP,BAE06007.1,AB219524.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,carbapenem;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux,mexP
3003699,mexQ,mexQ,BAE06008.1,AB219524.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,carbapenem;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux,mexQ
3003687,APH(3')-VI,APH(3')-VI,AGI04227.1,KC170992.1,APH(3'),aminoglycoside antibiotic,antibiotic inactivation,APH(3')-VI
3003692,MexJ,MexJ,AAG07065.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic,antibiotic efflux,MexJ
3003693,MexK,MexK,AAG07064.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic,antibiotic efflux,MexK
3003030,MexV,MexV,AAG07762.1,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux,MexV
3003031,MexW,MexW,AAG07763.1,NC_002516.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux,MexW
3003700,opmE,opmE,BAE06009.1,AB219524.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,carbapenem;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,antibiotic efflux,opmE
3003704,mexM,mexM,BAE06005.1,AB219523.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux,mexM
3003705,mexN,mexN,BAE06006.1,AB219523.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux,mexN
3003712,VEB-1b,VEB-1b,AAK14294.1,AF324834.1,VEB beta-lactamase,cephalosporin;monobactam,antibiotic inactivation,VEB-1b
3003677,AAC(6')-Iaj,AAC(6')-Iaj,BAM46120.1,AB709942.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iaj
3003713,VCC-1,VCC-1,ALU64000.1,KT818596.1,VCC beta-lactamase,carbapenem;monobactam;penam,antibiotic inactivation,VCC-1
3003670,PEDO-1,PEDO-1,AJP77059.1,KP109677.1,subclass B3 PEDO beta-lactamase,carbapenem,antibiotic inactivation,PEDO-1
3003714,PEDO-2,PEDO-2,AJP77071.1,KP109678.1,subclass B3 PEDO beta-lactamase,carbapenem,antibiotic inactivation,PEDO-2
3003715,PEDO-3,PEDO-3,AJP77076.1,KP109679.1,subclass B1 PEDO beta-lactamase,carbapenem,antibiotic inactivation,PEDO-3
3003716,CPS-1,CPS-1,AJP77054.1,KP109675.1,CPS beta-lactamase,carbapenem,antibiotic inactivation,CPS-1
3003717,ESP-1,ESP-1,AJP77085.1,KP109681.1,ESP beta-lactamase,carbapenem,antibiotic inactivation,ESP-1
3003718,MSI-1,MSI-1,AJP77057.1,KP109676.1,MSI beta-lactamase,carbapenem,antibiotic inactivation,MSI-1
3003719,MSI-OXA,MSI-OXA,AJP77058.1,KP109676.1,MSI-OXA family beta-lactamase,carbapenem,antibiotic inactivation,MSI-OXA
3003720,SPG-1,SPG-1,AJP77080.1,KP109680.1,SPG beta-lactamase,carbapenem,antibiotic inactivation,SPG-1
3001743,OXA-288,OXA-288,ENX60508.1,APRN01000033.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-288
3004789,FONA-2,FONA-2,CAB61637.1,AJ251240.1,FONA beta-lactamase,penam,antibiotic inactivation,FONA-2
3005278,PDC-118,PDC-118,WP_094009806.1,NG_055482.1,PDC beta-lactamase,carbapenem;cephalosporin;monobactam,antibiotic inactivation,PDC-118
3002914,vanJ,vanJ,CAB45459.1,AL939117.1,vanJ membrane protein,glycopeptide antibiotic,antibiotic target alteration,vanJ
3003731,fusD,fusD,ASE57902.1,CP022056.2,Target protecting FusB-type protein conferring resistance to Fusidic acid,fusidane antibiotic,antibiotic target protection,fusD
3003742,mphG,mphG,BAL43359.1,AB571865.1,macrolide phosphotransferase (MPH),macrolide antibiotic,antibiotic inactivation,mphG
3003723,vanI,vanI,KTE89608.1,LOCK01000072.1,Van ligase;glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration,vanI
3001534,OXA-346,OXA-346,AHN07464.1,KF048919.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-346
3003595,OXA-439,OXA-439,AKR53961.1,KP727573.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-439
3003634,OXA-477,OXA-477,ALC79292.1,KR182170.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-477
3003744,vatF,vatF,AAF63432.1,AF170730.1,streptogramin vat acetyltransferase,streptogramin A antibiotic;streptogramin antibiotic,antibiotic inactivation,vatF
3003762,lnuE,lnuE,AGT57825.1,KF287643.1,lincosamide nucleotidyltransferase (LNU),lincosamide antibiotic,antibiotic inactivation,lnuE
3003745,mefC,mefC,BAL43360.1,AB571865.1,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,mefC
3003748,oleC,oleC,AAA26793.1,L06249.1,ATP-binding cassette (ABC) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux,oleC
3003749,salA,salA,AGN74946.1,KC693025.1,sal-type ABC-F protein,lincosamide antibiotic;pleuromutilin antibiotic;streptogramin A antibiotic;streptogramin antibiotic,antibiotic target protection,salA
3001301,RlmA(II),RlmA(II),AJD73064.1,CP007593.1,non-erm 23S ribosomal RNA methyltransferase (G748),lincosamide antibiotic;macrolide antibiotic,antibiotic target alteration,RlmA(II)
3003655,ACT-38,ACT-38,AKS43590.1,KP836350.1,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,ACT-38
3004622,QnrS10,QnrS10,AEU11363.1,JN836269.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrS10
3002934,vanS gene in vanD cluster,vanS gene in vanD cluster,ACM47284.1,EU999036.1,glycopeptide resistance gene cluster;vanS,glycopeptide antibiotic,antibiotic target alteration,vanS_in_vanD_cl
3003770,Listeria monocytogenes mprF,Listeria monocytogenes mprF,CAC99773.1,AL591981.1,defensin resistant mprF,peptide antibiotic,antibiotic target alteration,Lmon_mprF
3003772,Brucella suis mprF,Brucella suis mprF,AAN33774.1,AE014292.2,defensin resistant mprF,peptide antibiotic,antibiotic target alteration,Bsui_mprF
3003773,Clostridium perfringens mprF,Clostridium perfringens mprF,ABG86067.1,CP000312.1,defensin resistant mprF,peptide antibiotic,antibiotic target alteration,Cper_mprF
3003774,Streptococcus agalactiae mprF,Streptococcus agalactiae mprF,AAN00989.1,AE009948.1,defensin resistant mprF,peptide antibiotic,antibiotic target alteration,Saga_mprF
3003767,mphM,mphM,AMR06225.1,CP014284.1,macrolide phosphotransferase (MPH),macrolide antibiotic,antibiotic inactivation,mphM
3004665,cmlA8,cmlA8,ABW91179.1,EU182575.1,major facilitator superfamily (MFS) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux,cmlA8
3003728,vanR gene in vanI cluster,vanR gene in vanI cluster,BAE85478.1,AP008230.1,glycopeptide resistance gene cluster;vanR,glycopeptide antibiotic,antibiotic target alteration,vanR_in_vanI_cl
3003725,vanX gene in vanI cluster,vanX gene in vanI cluster,ACL19707.1,CP001336.1,glycopeptide resistance gene cluster;vanX,glycopeptide antibiotic,antibiotic target alteration,vanX_in_vanI_cl
3003733,fusC,fusC,CAG41812.1,BX571857.1,Target protecting FusB-type protein conferring resistance to Fusidic acid,fusidane antibiotic,antibiotic target protection,fusC
3003746,optrA,optrA,AKA86814.1,KP399637.1,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,oxazolidinone antibiotic;phenicol antibiotic,antibiotic target protection,optrA
3003855,ADC-10,ADC-10,ABI18382.1,DQ883640.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-10
3004617,ADC-30,ADC-30,AEL30572.1,JF265068.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-30
3004618,ADC-58,ADC-58,AFG25594.1,JQ319653.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-58
3004615,ADC-11,ADC-11,ADG46039.1,GU591983.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-11
3003793,SPM-1,SPM-1,CAD37801.1,AJ492820.1,SPM beta-lactamase,carbapenem,antibiotic inactivation,SPM-1
3001831,ACT-8,ACT-8,CBI75448.1,FN645445.1,ACT beta-lactamase,carbapenem;cephalosporin;cephamycin;penam,antibiotic inactivation,ACT-8
3004619,ADC-59,ADC-59,AFG25595.1,JQ319654.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-59
3004621,AAC(3)-IIe,AAC(3)-IIe,ABS70978.1,EU022315.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIe
3003838,gadW,gadW,ANK04027.1,CP015085.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;penam,antibiotic efflux,gadW
3003835,cdeA,cdeA,CAE00499.1,AJ574887.1,multidrug and toxic compound extrusion (MATE) transporter,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux,cdeA
3001551,OXA-364,OXA-364,AFR53898.2,JX306689.2,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-364
3003596,OXA-440,OXA-440,AKR53962.1,KP727574.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-440
3003635,OXA-478,OXA-478,ALC79293.1,KR182171.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-478
3004784,FAR-1,FAR-1,AAB81957.1,AF024601.1,FAR beta-lactamase,penam,antibiotic inactivation,FAR-1
3004844,LEN-41,LEN-41,AZA07958.1,MK161461.1,LEN beta-lactamase,penam;penem,antibiotic inactivation,LEN-41
3003204,TLA-3,TLA-3,BAQ22139.1,AP014611.1,TLA beta-lactamase,cephalosporin;fluoroquinolone antibiotic;monobactam,antibiotic inactivation,TLA-3
3004620,ADC-60,ADC-60,AFH53180.1,JQ692087.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-60
3002191,MOX-9,MOX-9,AIG22447.1,KJ746495.1,MOX beta-lactamase,cephalosporin;cephamycin;penam,antibiotic inactivation,MOX-9
3003200,AAC(6')-Ian,AAC(6')-Ian,BAQ22025.1,AP014611.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ian
3004797,FRI-1,FRI-1,ALE30770.1,KT192551.1,FRI beta-lactamase,penam,antibiotic inactivation,FRI-1
3003841,kdpE,kdpE,AAC73788.1,U00096.3,kdpDE,aminoglycoside antibiotic,antibiotic efflux,kdpE
3002474,LEN-26,LEN-26,AGB34168.1,JX124390.1,LEN beta-lactamase,penam;penem,antibiotic inactivation,LEN-26
3003848,ADC-2,ADC-2,AAO43172.1,AY177427.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-2
3004623,AAC(3)-IId,AAC(3)-IId,ABS70977.1,EU022314.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IId
3004624,QnrS11,QnrS11,AFM45990.1,JQ269335.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrS11
3004626,Erm(49),Erm(49),OPG86592.1,MWVR01000009.1,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration,Erm(49)
3006357,ADC-188,ADC-188,WP_136512057.1,NG_064711.1,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-188
3003842,MUS-2,MUS-2,AKN19901.1,KP658209.1,MUS beta-lactamase,carbapenem,antibiotic inactivation,MUS-2
3004629,AAC(6')-Im,AAC(6')-Im,AAK63041.1,AF337947.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Im
3004633,ADC-67,ADC-67,AFP89364.1,JX169789.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-67
3004634,ADC-73,ADC-73,ALA14808.1,KP881233.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-73
3004635,AAC(6')-Il,AAC(6')-Il,AAA90937.1,U13880.2,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Il
3004636,qnrE1,qnrE1,APC93960.1,KY073238.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,qnrE1
3004637,qnrE2,qnrE2,AQV34023.1,CP018961.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,qnrE2
3004639,Corynebacterium striatum tetA,Corynebacterium striatum tetA,NP_862226.1,NC_004939.1,major facilitator superfamily (MFS) antibiotic efflux pump,penam;tetracycline antibiotic,antibiotic efflux,Cstr_tetA
3004640,dfrA15b,dfrA15b,CAI29521.1,AJ867237.1,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,dfrA15b
3004641,aacA43,aacA43,AEA07977.1,HQ247816.1,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,aacA43
3004643,Erm(K),Erm(K),WP_010896559.1,NG_047831.1,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic,antibiotic target alteration,Erm(K)
3004644,dfrA6 from Proteus mirabilis,dfrA6 from Proteus mirabilis,CAB06660.1,Z86002.1,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,Pmir_dfrA6
3004645,dfrI,dfrI,ABO40886.1,CP000602.1,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,dfrI
3004647,AQU-2,AQU-2,AHF82023.1,KF730243.1,AQU beta-lactamase,cephalosporin,antibiotic inactivation,AQU-2
3004649,cfr(B),cfr(B),CDF47262.1,HG002396.1,Cfr 23S ribosomal RNA methyltransferase,lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic,antibiotic target alteration,cfr(B)
3003847,ADC-1,ADC-1,CAB77444.1,AJ009979.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-1
3003849,ADC-3,ADC-3,AAO59456.1,AY178995.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-3
3003850,ADC-4,ADC-4,AAO59457.1,AY178996.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-4
3003852,ADC-6,ADC-6,AUD40659.1,MG601730.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-6
3003853,ADC-7,ADC-7,AAT70411.1,AY648950.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-7
3003854,ADC-8,ADC-8,CAL25116.3,AM293332.3,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-8
3003851,ADC-5,ADC-5,CAE00827.1,AJ575184.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-5
3003856,ADC-12,ADC-12,CAK95249.1,AM283529.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-12
3006330,ADC-156,ADC-156,WP_024436624.1,NG_055286.1,ADC beta-lactamases pending classification for carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-156
3004625,QnrS12,QnrS12,OIZ71829.1,MKQI01000097.1,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection,QnrS12
3003905,ANT(4')-Ib,ANT(4')-Ib,ADA62098.1,GQ900432.1,ANT(4'),aminoglycoside antibiotic,antibiotic inactivation,ANT(4')-Ib
3004632,ADC-62,ADC-62,AFK24475.1,JQ867374.1,ADC beta-lactamase without carbapenemase activity,cephalosporin,antibiotic inactivation,ADC-62
3003908,Erm(47),Erm(47),ANZ79476.1,KU612222.1,Erm 23S ribosomal RNA methyltransferase,lincosamide antibiotic;macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic,antibiotic target alteration,Erm(47)
3004638,AAC(6')-Iag,AAC(6')-Iag,BAN78519.1,AB472901.2,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iag
3004642,dfrA3b,dfrA3b,AAN85115.1,AY162283.2,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,dfrA3b
3004648,AQU-3,AQU-3,AHF82024.1,KF730244.1,AQU beta-lactamase,cephalosporin,antibiotic inactivation,AQU-3
3002539,AAC(3)-IV,AAC(3)-IV,ABB43029.1,DQ241380.1,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IV
3001555,OXA-368,OXA-368,AMB19637.1,KT736121.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-368
3003158,TEM-220,TEM-220,AIW68620.1,KM998962.1,TEM beta-lactamase,cephalosporin;monobactam;penam;penem,antibiotic inactivation,TEM-220
3003922,oqxA,oqxA,AAP43109.1,EU370913.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic,antibiotic efflux,oqxA
3003923,oqxB,oqxB,AAP43110.2,EU370913.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic,antibiotic efflux,oqxB
3004692,aadA10,aadA10,AAL36430.1,U37105.2,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA10
3001746,OXA-291,OXA-291,ENW94121.1,APRL01000010.1,OXA beta-lactamase,carbapenem;cephalosporin;penam,antibiotic inactivation,OXA-291
3003918,apmA,apmA,CBL58181.1,FN806789.3,amp acetyltransferase,aminoglycoside antibiotic,antibiotic inactivation,apmA
